Round 1 | Enemy: Goblin | Damage Dealt: 60 | Damage Taken: 30
Round 2 | Enemy: Assassin | Damage Dealt: 80 | Damage Taken: 120
Round 3 | Enemy: Giant | Damage Dealt: 50 | Damage Taken: 150
Round 1 | Enemy: Goblin | Damage Dealt: 60 | Damage Taken: 30
Round 2 | Enemy: Assassin | Damage Dealt: 80 | Damage Taken: 120
Round 3 | Enemy: Giant | Damage Dealt: 50 | Damage Taken: 150
Round 1 | Enemy: Goblin | Damage Dealt: 60 | Damage Taken: 30
Round 2 | Enemy: Assassin | Damage Dealt: 80 | Damage Taken: 120
Round 3 | Enemy: Giant | Damage Dealt: 50 | Damage Taken: 150
Round 1 | Enemy: Goblin | Damage Dealt: 60 | Damage Taken: 30
Round 2 | Enemy: Assassin | Damage Dealt: 80 | Damage Taken: 120
Round 3 | Enemy: Giant | Damage Dealt: 50 | Damage Taken: 150
Round 1 | Enemy: Goblin | Damage Dealt: 60 | Damage Taken: 30
Round 2 | Enemy: Assassin | Damage Dealt: 80 | Damage Taken: 120
Round 3 | Enemy: Giant | Damage Dealt: 50 | Damage Taken: 150
Round 1 | Enemy: Goblin | Damage Dealt: 60 | Damage Taken: 30
Round 2 | Enemy: Assassin | Damage Dealt: 80 | Damage Taken: 120
Round 3 | Enemy: Giant | Damage Dealt: 50 | Damage Taken: 150
Round 1 | Enemy: Goblin | Damage Dealt: 60 | Damage Taken: 30
Round 2 | Enemy: Assassin | Damage Dealt: 80 | Damage Taken: 120
Round 3 | Enemy: Giant | Damage Dealt: 50 | Damage Taken: 150
Round 1 | Enemy: Goblin | Damage Dealt: 60 | Damage Taken: 30
Round 2 | Enemy: Assassin | Damage Dealt: 80 | Damage Taken: 120
Round 3 | Enemy: Giant | Damage Dealt: 50 | Damage Taken: 150
